web-scraper-order,web-scraper-start-url,link,ad_id,location,apartment_type,number_of_floors,number_of_rooms,floor_number,floors_in _building,year_of_construction,year_of_renovation,parking_spots,balcony_type,sqft,sqft_net,energy_class,price,post_date
"1718323834-1","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-2","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-3","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-4","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-5","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-6","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-7","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-8","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-9","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-10","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-11","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-12","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-13","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-14","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-15","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-16","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-17","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-18","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-19","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-20","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-21","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-22","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-23","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-24","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-25","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-26","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-27","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-28","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-29","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-30","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-31","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-32","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-33","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-34","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-35","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-36","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-37","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-38","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-39","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-40","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-41","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-42","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-43","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-44","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-45","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-46","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-47","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-48","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-49","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-50","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-51","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-52","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-53","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-54","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-55","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-56","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-57","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-58","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-59","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-60","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-61","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-62","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-63","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-64","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-65","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-66","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-67","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-68","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-69","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-70","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718323834-71","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
