web-scraper-order,web-scraper-start-url,link,ad_id,location,apartment_type,number_of_floors,number_of_rooms,floor_number,floors_in _building,year_of_construction,year_of_renovation,parking_spots,balcony_type,sqft,sqft_net,energy_class,price,post_date
"1719059683-1","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-2","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-3","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-4","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-5","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-6","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-7","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-8","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-9","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-10","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-11","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-12","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-13","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-14","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-15","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-16","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-17","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-18","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-19","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-20","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-21","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-22","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-23","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-24","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-25","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-26","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-27","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-28","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-29","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-30","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-31","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-32","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-33","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-34","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-35","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-36","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-37","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-38","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-39","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-40","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-41","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-42","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-43","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-44","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-45","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-46","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-47","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-48","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-49","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-50","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-51","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-52","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-53","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-54","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-55","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-56","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-57","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-58","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-59","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-60","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-61","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-62","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-63","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-64","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-65","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-66","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-67","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-68","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-69","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-70","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-71","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-72","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-73","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-74","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-75","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-76","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-77","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-78","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-79","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-80","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-81","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1719059683-82","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
