,ad_id,link,county_number,county,location1,location2,apartment_type,sqft(m2),sqft_net(m2),number_of_rooms,balcony_type,number_of_floors,floor_number,floors_in_building,year_of_construction,year_of_renovation,parking_spots,energy_class,price(€),post_date
1086,44089131,https://www.njuskalo.hr/nekretnine/stan-1s-42-m2-sibenik-subicevac-oglas-44089131,15.0,Šibensko-kninska,Šibenik,Šubićevac,1,42.72,,1.0,,1.0,Prizemlje,14,1978.0,,,,152000.0,2024-06-12
1087,44089132,https://www.njuskalo.hr/nekretnine/stan-2s-55m2-sibenik-vidici-oglas-44089132,15.0,Šibensko-kninska,Šibenik,Vidici,1,55.03,,2.0,Balkon,1.0,Suteren,5,1982.0,,,,150000.0,2024-06-12
1088,44089133,https://www.njuskalo.hr/nekretnine/stan-68.59m2-murter-centar-oglas-44089133,15.0,Šibensko-kninska,Murter,Murter,1,68.59,,2.0,Terasa,2.0,2.,2,2017.0,,,,195000.0,2024-06-12
1089,44089134,https://www.njuskalo.hr/nekretnine/stan-2s-89.50m2-sibenik-oglas-44089134,15.0,Šibensko-kninska,Šibenik,Grad,1,89.5,,2.0,Balkon,1.0,2.,2,1968.0,,,,315000.0,2024-06-12
1090,44089135,https://www.njuskalo.hr/nekretnine/stan-3s-101-m2-novogradnja-rogoznica-oglas-44089135,15.0,Šibensko-kninska,Rogoznica,Rogoznica,1,101.0,,3.0,,1.0,2.,2,2023.0,,,,530000.0,2024-06-12
1091,44089136,https://www.njuskalo.hr/nekretnine/stan-3s-101-m2-novogradnja-rogoznica-oglas-44089136,15.0,Šibensko-kninska,Rogoznica,Rogoznica,1,101.0,,3.0,,1.0,1.,2,2023.0,,,,470000.0,2024-06-12
1092,44089137,https://www.njuskalo.hr/nekretnine/stan-3s-118.25-m2-novogradnja-rogoznica-oglas-44089137,15.0,Šibensko-kninska,Rogoznica,Rogoznica,1,118.25,,3.0,,1.0,2.,2,2023.0,,,,620000.0,2024-06-12
1093,44089139,https://www.njuskalo.hr/nekretnine/prodaja-stan-donje-svetice-ivekoviceva-1s-33m2-oglas-44089139,21.0,Grad Zagreb,Peščenica - Žitnjak,Donje Svetice,1,33.0,,1.0,,1.0,4.,4,1962.0,,,,99000.0,2024-06-12
1094,44089141,https://www.njuskalo.hr/nekretnine/prodaja-stan-donji-grad-koturaska-3.5s-138m2-oglas-44089141,21.0,Grad Zagreb,Donji Grad,Donji grad,1,138.0,,3.0,Balkon,1.0,2.,3,1920.0,,,,320001.0,2024-06-12
1095,43561392,https://www.njuskalo.hr/nekretnine/stan-zagreb-pantovcak-76.00-m2-oglas-43561392,21.0,Grad Zagreb,Gornji Grad - Medveščak,Pantovčak,1,76.83,76.83,3.0,,1.0,1.,4,,,1,,305000.0,2024-06-12
1096,41489948,https://www.njuskalo.hr/nekretnine/stan-zagreb-gajnice-78.00-m2-novogradnja-oglas-41489948,21.0,Grad Zagreb,Podsused - Vrapče,Gajnice,1,153.0,78.0,2.0,Terasa,1.0,Prizemlje,3,2007.0,,3,,220000.0,2024-06-12
1097,41644483,https://www.njuskalo.hr/nekretnine/stan-medulin-53.00-m2-novogradnja-oglas-41644483,18.0,Istarska,Medulin,Medulin,1,74.28,85.97,3.0,Balkon,1.0,1.,2,2024.0,,2,A+,234000.0,2024-06-12
1098,42207424,https://www.njuskalo.hr/nekretnine/stan-njivice-90.00-m2-novogradnja-oglas-42207424,8.0,Primorsko-goranska,Omišalj,Njivice,1,33.0,90.0,2.0,Terasa,1.0,Prizemlje,3,2024.0,,1,A+,170000.0,2024-06-14
1099,5404801,https://www.njuskalo.hr/nekretnine/stan-sveti-vid-miholjice-95-m2-novogradnja-oglas-5404801,8.0,Primorsko-goranska,Malinska-Dubašnica,Sveti Vid-Miholjice,0,95.0,80.0,4.0,"Balkon, Terasa",2.0,1.,2,2012.0,2012.0,2,A,310000.0,2024-06-14
1100,28258013,https://www.njuskalo.hr/nekretnine/stan-njivice-79.00-m2-novogradnja-oglas-28258013,8.0,Primorsko-goranska,Omišalj,Njivice,1,79.0,,3.0,,1.0,,1,,,1,A,280000.0,2024-06-12
1101,43197515,https://www.njuskalo.hr/nekretnine/stan-zagreb-vrhovec-116.00-m2-oglas-43197515,21.0,Grad Zagreb,Črnomerec,Vrhovec,1,116.0,116.0,4.0,"Balkon, Terasa",2.0,Prizemlje,2,1998.0,2022.0,,,390000.0,2024-06-12
1102,43574996,https://www.njuskalo.hr/nekretnine/krapinske-toplice-centar-dvosobni-stan-67m2-2-katu-oglas-43574996,2.0,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,1,67.0,,2.0,"Balkon, Lođa (Loggia)",1.0,2.,4,,,,,129000.0,2024-06-12
1103,43356251,https://www.njuskalo.hr/nekretnine/prodajem-stan-ili-ga-mijenjam-nekretninu-novigradu-umagu-porecu-oglas-43356251,18.0,Istarska,Buje,Buje,1,53.0,,3.0,,1.0,3.,3,,2024.0,,,140000.0,2024-06-12
1104,39842553,https://www.njuskalo.hr/nekretnine/penthouse-zapresic-100.00-m2-novogradnja-ivana-vencla-oglas-39842553,1.0,Zagrebačka,Zaprešić,Centar,1,100.0,100.0,4.0,"Balkon, Terasa",1.0,3.,3,2024.0,,,A+,229000.0,2024-06-12
1105,42335341,https://www.njuskalo.hr/nekretnine/stan-zapresic-51m2-trosobni-lift-najbolja-protupotresna-stabilnost-oglas-42335341,1.0,Zagrebačka,Zaprešić,Centar,1,56.0,56.0,3.0,Lođa (Loggia),1.0,1.,3,2024.0,,,A+,140000.0,2024-06-12
1106,43524243,https://www.njuskalo.hr/nekretnine/stan-split-44.00-m2-oglas-43524243,17.0,Splitsko-dalmatinska,Split,Dragovode,1,44.0,42.0,1.0,Lođa (Loggia),1.0,1.,2,2009.0,,1,,195000.0,2024-06-12
1107,43847560,https://www.njuskalo.hr/nekretnine/velika-mlaka-3-sobni-stan-75.57m2-145000-oglas-43847560,1.0,Zagrebačka,Velika Gorica - Okolica,Velika Mlaka,1,75.57,,3.0,,1.0,1.,1,1980.0,2024.0,2,B,145000.0,2024-06-12
1108,41504214,https://www.njuskalo.hr/nekretnine/stan-varazdin-101.00-m2-novogradnja-oglas-41504214,5.0,Varaždinska,Varaždin,Jalkovečka,1,101.0,,3.0,Terasa,1.0,Potkrovlje,5,2024.0,,,A+,247450.0,2024-06-12
1109,43656447,https://www.njuskalo.hr/nekretnine/bez-provizije-vinogradi-101m2-neto-novogradnja-vrt-pm-gpm-oglas-43656447,21.0,Grad Zagreb,Črnomerec,Vrhovec,1,239.5,100.88,3.0,Balkon,1.0,Prizemlje,2,2023.0,,2,A+,373000.0,2024-06-12
1110,42971067,https://www.njuskalo.hr/nekretnine/istra-porec-tar-trosoban-stan-62.41m2-prizemlje-novogradnja-oglas-42971067,18.0,Istarska,Tar-Vabriga,Tar,1,62.41,,3.0,Terasa,1.0,Prizemlje,,,,2,,199712.0,2024-06-12
1111,43839302,https://www.njuskalo.hr/nekretnine/porec-2-sobni-stan-2-db-vrt-2-par-m-oglas-43839302,18.0,Istarska,Poreč,Poreč,1,70.97,,2.0,Terasa,1.0,Prizemlje,2,2024.0,,2,,254600.0,2024-06-12
1112,44058340,https://www.njuskalo.hr/nekretnine/istra-porec-novogradnja-penthouse-3-dn-oglas-44058340,18.0,Istarska,Poreč,Poreč,1,143.0,,4.0,Terasa,1.0,2.,2,,,2,,514300.0,2024-06-12
1113,40420425,https://www.njuskalo.hr/nekretnine/istra-porec-stan-54.31m2-novogradnji-blizina-mora-oglas-40420425,18.0,Istarska,Poreč,Poreč,1,54.31,,1.0,Terasa,1.0,2.,4,2024.0,,1,,203187.0,2024-06-12
1114,43787983,https://www.njuskalo.hr/nekretnine/istra-porec-stan-105m2-blizini-centra-oglas-43787983,18.0,Istarska,Poreč,Poreč,1,104.79,,4.0,Lođa (Loggia),1.0,2.,2,,,1,,350000.0,2024-06-12
1115,43862196,https://www.njuskalo.hr/nekretnine/istra-porec-3-soban-stan-db-vrt-pogled-more-oglas-43862196,18.0,Istarska,Poreč,Poreč,1,111.5,,3.0,Terasa,1.0,Prizemlje,2,2024.0,,3,A,375000.0,2024-06-12
1116,43857915,https://www.njuskalo.hr/nekretnine/stan-zagreb-maksimir-1-soban-40.00-m2-tavnom-cca-80m2-oglas-43857915,21.0,Grad Zagreb,Maksimir,Maksimir,1,40.0,,1.0,Balkon,1.0,1.,1,1926.0,2023.0,,,200000.0,2024-06-12
1117,43794294,https://www.njuskalo.hr/nekretnine/stan-zagreb-lascina-oglas-43794294,21.0,Grad Zagreb,Maksimir,Lašćina,1,113.0,113.0,3.0,Lođa (Loggia),1.0,2.,,1968.0,,,,340000.0,2024-06-12
1118,43315085,https://www.njuskalo.hr/nekretnine/stan-murter-64.00-m2-novogradnja-oglas-43315085,15.0,Šibensko-kninska,Murter,Murter,1,64.0,,3.0,Terasa,1.0,1.,1,2023.0,,,A,280000.0,2024-06-12
1119,41361330,https://www.njuskalo.hr/nekretnine/stan-dvoetazni-pos-naselju-varazdin-80.00-m2-prodaja-oglas-41361330,5.0,Varaždinska,Varaždin,Jalkovečka,1,80.0,79.86,3.0,Lođa (Loggia),2.0,2.,4,2006.0,,nema vlastito parkirno mjesto,C,180000.0,2024-06-12
1120,38170018,https://www.njuskalo.hr/nekretnine/stan-zagreb-centar-salata-gajdekova-58.00-m2-oglas-38170018,21.0,Grad Zagreb,Gornji Grad - Medveščak,Centar,1,58.0,,2.0,,1.0,Suteren,,1935.0,,,C,142500.0,2024-06-14
1121,41804474,https://www.njuskalo.hr/nekretnine/otok-cres-stan-dvoristem-70-metara-mora-93.00-m2-oglas-41804474,8.0,Primorsko-goranska,Cres,Cres,1,93.0,,4.0,Terasa,1.0,Prizemlje,,2010.0,,,,1.0,2024-06-14
1122,41804845,https://www.njuskalo.hr/nekretnine/otok-cres-stan-dvoristem-70-metara-mora-93.00-m2-oglas-41804845,8.0,Primorsko-goranska,Cres,Cres,1,93.0,,4.0,"Lođa (Loggia), Terasa",1.0,Prizemlje,,2010.0,,,,1.0,2024-06-14
1123,42204440,https://www.njuskalo.hr/nekretnine/stan-zagreb-britanac-ulica-ivana-kukuljevica-61.00-m2-oglas-42204440,21.0,Grad Zagreb,Gornji Grad - Medveščak,Britanac,1,67.0,,3.0,Balkon,1.0,1.,,1926.0,,,C,187600.0,2024-06-14
1124,42204476,https://www.njuskalo.hr/nekretnine/stan-zagreb-centar-britanac-ul-ivana-kukuljevica-67.00-m2-oglas-42204476,21.0,Grad Zagreb,Gornji Grad - Medveščak,Centar,1,67.0,,3.0,Balkon,1.0,1.,,1926.0,,,C,187600.0,2024-06-14
1125,43014335,https://www.njuskalo.hr/nekretnine/stan-zagreb-tresnjevka-kumrovecka-ulica-49.00-m2-parking-oglas-43014335,21.0,Grad Zagreb,Črnomerec,Črnomerec,1,49.0,,3.0,Lođa (Loggia),1.0,1.,,2008.0,,1,C,179000.0,2024-06-14
1126,43014417,https://www.njuskalo.hr/nekretnine/stan-zagreb-tresnjevka-kumrovecka-ulica-49.00-m2-parking-oglas-43014417,21.0,Grad Zagreb,Trešnjevka - Sjever,Trešnjevka,1,49.0,,3.0,Lođa (Loggia),1.0,1.,,2008.0,,1,C,179000.0,2024-06-14
1127,43235874,https://www.njuskalo.hr/nekretnine/stan-otok-cres-trosoban-stan-prvi-red-mora-oglas-43235874,8.0,Primorsko-goranska,Cres,Cres,1,98.0,,3.0,,1.0,Potkrovlje,,,,2,A,540000.0,2024-06-14
1128,43236731,https://www.njuskalo.hr/nekretnine/stan-otok-cres-110.00-m2-novogradnja-pogled-more-oglas-43236731,8.0,Primorsko-goranska,Cres,Cres,1,110.0,,4.0,"Lođa (Loggia), Terasa",2.0,1.,,,,2,A,550000.0,2024-06-14
1129,43564045,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-bukovac-63.00-m2-oglas-43564045,21.0,Grad Zagreb,Maksimir,Donji Bukovac,1,63.0,,4.0,Lođa (Loggia),1.0,Potkrovlje,,2008.0,,1,B,214900.0,2024-06-14
1130,43564269,https://www.njuskalo.hr/nekretnine/stan-zagreb-maksimir-donji-bukovac-sedlo-63.00-m2-parking-oglas-43564269,21.0,Grad Zagreb,Maksimir,Maksimir,1,63.0,,4.0,Lođa (Loggia),1.0,Potkrovlje,,2008.0,,1,B,214900.0,2024-06-14
1131,43609126,https://www.njuskalo.hr/nekretnine/stan-zagreb-maksimir-lascina-ulica-franje-pokornoga-parking-oglas-43609126,21.0,Grad Zagreb,Maksimir,Lašćina,1,72.0,,3.0,Lođa (Loggia),1.0,Potkrovlje,,1985.0,,,D,192000.0,2024-06-14
1132,43609154,https://www.njuskalo.hr/nekretnine/stan-zagreb-maksimir-lascina-ulica-franje-pokornoga-parking-oglas-43609154,21.0,Grad Zagreb,Maksimir,Maksimir,1,72.0,,3.0,Lođa (Loggia),1.0,Potkrovlje,,,,,D,192000.0,2024-06-14
1133,43917361,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-grad-ulica-kneza-mislava-36.00-m2-oglas-43917361,21.0,Grad Zagreb,Donji Grad,Donji grad,1,36.0,,1.0,,1.0,Suteren,,,2024.0,,D,101500.0,2024-06-14
1134,41928381,https://www.njuskalo.hr/nekretnine/stan-cres-stan-terasom-pogledom-more-97.00-m2-oglas-41928381,8.0,Primorsko-goranska,Cres,Cres,1,97.0,,4.0,Terasa,1.0,Prizemlje,3,2008.0,,1,B,390000.0,2024-06-14
1135,43538480,https://www.njuskalo.hr/nekretnine/stan-crikvenica-32.00-m2-oglas-43538480,8.0,Primorsko-goranska,Crikvenica,Crikvenica,1,32.0,,1.0,Lođa (Loggia),1.0,3.,,2000.0,2018.0,,C,126900.0,2024-06-14
1136,43917180,https://www.njuskalo.hr/nekretnine/stan-zagreb-centar-ulica-kneza-mislava-36.00-m2-oglas-43917180,21.0,Grad Zagreb,Gornji Grad - Medveščak,Centar,1,36.0,,1.0,,1.0,Suteren,,,2024.0,,D,101500.0,2024-06-14
1137,37074206,https://www.njuskalo.hr/nekretnine/zadar-bulevar-dvosoban-stan-prizemlju-vrtom-oglas-37074206,13.0,Zadarska,Zadar,Bulevar,1,71.12,71.12,2.0,Lođa (Loggia),1.0,Prizemlje,3,,,1,,225000.0,2024-06-12
1138,40913840,https://www.njuskalo.hr/nekretnine/jednosoban-stan-s7-garazom-zadar-59.00-m2-novogradnja-oglas-40913840,13.0,Zadarska,Zadar,Bokanjac,1,59.03,,1.0,Lođa (Loggia),1.0,2.,2,,,2,,163000.0,2024-06-12
1139,41008230,https://www.njuskalo.hr/nekretnine/zadar-mocire-trosoban-stan-krovnom-terasom-top-lokacija-oglas-41008230,13.0,Zadarska,Zadar,Mocire,1,118.41,,3.0,"Lođa (Loggia), Terasa",1.0,2.,2,,,2,,499000.0,2024-06-12
1140,41396685,https://www.njuskalo.hr/nekretnine/zadar-smiljevac-dvosoban-stan-drugom-katu-krovom-terasom-oglas-41396685,13.0,Zadarska,Zadar,Smiljevac,1,78.9,,2.0,Terasa,1.0,2.,2,,,2,,249000.0,2024-06-12
1141,41754991,https://www.njuskalo.hr/nekretnine/zadar-bokanjac-jednosoban-stan-s7-z2-garazom-novogradnja-oglas-41754991,13.0,Zadarska,Zadar,Bokanjac,1,59.03,,1.0,Lođa (Loggia),1.0,2.,2,,,,,163000.0,2024-06-12
1142,43163621,https://www.njuskalo.hr/nekretnine/brodarica-sibenik-dvosoban-stan-290-m-mora-prizemlje-vrtom-oglas-43163621,15.0,Šibensko-kninska,Šibenik - Okolica,Brodarica,1,80.89,,2.0,Terasa,1.0,Prizemlje,2,,,1,,185000.0,2024-06-12
1143,43163792,https://www.njuskalo.hr/nekretnine/brodarica-sibenik-dvosoban-stan-290-m-mora-drugi-kat-oglas-43163792,15.0,Šibensko-kninska,Šibenik - Okolica,Brodarica,1,64.69,,2.0,Terasa,1.0,2.,2,,,1,,197000.0,2024-06-12
1144,43271238,https://www.njuskalo.hr/nekretnine/adar-bokanjac-prvi-kat-s1-novogradnja-garaza-oglas-43271238,13.0,Zadarska,Zadar,Bokanjac,1,61.45,,1.0,Balkon,1.0,1.,2,,,2,,172000.0,2024-06-12
1145,43271294,https://www.njuskalo.hr/nekretnine/zadar-bokanjac-prvi-kat-s4-novogradnja-garaza-oglas-43271294,13.0,Zadarska,Zadar,Bokanjac,1,62.63,,1.0,Balkon,1.0,1.,2,,,2,,175300.0,2024-06-12
1146,43271319,https://www.njuskalo.hr/nekretnine/zadar-bokanjac-drugi-kat-s5-novogradnja-garaza-oglas-43271319,13.0,Zadarska,Zadar,Bokanjac,1,63.29,,1.0,Balkon,1.0,2.,2,,,2,,177200.0,2024-06-12
