,ad_id,link,county_number,county,location1,location2,apartment_type,sqft(m2),sqft_net(m2),number_of_rooms,balcony_type,number_of_floors,floor_number,floors_in_building,year_of_construction,year_of_renovation,parking_spots,energy_class,price(€),post_date
92,42753950,https://www.njuskalo.hr/nekretnine/pantovcak-trosoban-stan-panoramskim-pogledom-grad-oglas-42753950,21,Grad Zagreb,Donji Grad,Donji grad,1,88.0,88.0,3.0,,2.0,2.,,,2020.0,,,264000.0,2024-06-20
93,42769596,https://www.njuskalo.hr/nekretnine/dubrava-cucerje-trosoban-stan-garazom-parkingom-oglas-42769596,21,Grad Zagreb,Gornja Dubrava,Čučerje,1,92.5,92.5,3.0,,1.0,Visoko prizemlje,Visoko prizemlje,2008.0,,,,240000.0,2024-06-20
94,42769598,https://www.njuskalo.hr/nekretnine/malesnica-mirka-viriusa-dvosoban-stan-odlicna-lokacija-oglas-42769598,21,Grad Zagreb,Stenjevec,Malešnica,1,48.0,48.0,2.0,,1.0,1.,3,1991.0,2019.0,,,170400.0,2024-06-20
95,43216166,https://www.njuskalo.hr/nekretnine/vodice-moderna-novogradnja-parking-odlicna-lokacija-oglas-43216166,15,Šibensko-kninska,Vodice,Vodice,1,65.47,65.47,2.0,,1.0,1.,,2024.0,,,,170000.0,2024-06-20
96,43216167,https://www.njuskalo.hr/nekretnine/vodice-moderna-novogradnja-parking-odlicna-lokacija-oglas-43216167,15,Šibensko-kninska,Vodice,Vodice,1,65.47,65.47,2.0,,1.0,Prizemlje,Prizemlje,2024.0,,,,170000.0,2024-06-20
97,43334798,https://www.njuskalo.hr/nekretnine/trnsko-dvosoban-stan-3-minute-hoda-udaljen-tramvajske-stanice-sm-oglas-43334798,21,Grad Zagreb,Novi Zagreb - Zapad,Trnsko,1,53.57,53.57,2.0,,1.0,2.,,,,,,135000.0,2024-06-20
98,43216170,https://www.njuskalo.hr/nekretnine/vodice-moderna-novogradnja-parking-odlicna-lokacija-oglas-43216170,15,Šibensko-kninska,Vodice,Vodice,1,78.79,78.79,3.0,,1.0,2.,,2024.0,,,,190000.0,2024-06-20
99,43356083,https://www.njuskalo.hr/nekretnine/tresnjevka-ivana-broza-trosoban-stan-balkon-odlicna-lokacija-oglas-43356083,21,Grad Zagreb,Trešnjevka - Sjever,Trešnjevka,1,81.0,81.0,3.0,,1.0,4.,4,1970.0,,,,245000.0,2024-06-20
100,43571139,https://www.njuskalo.hr/nekretnine/centar-crvenog-kriza-trosoban-stan-odlicna-lokacija-oglas-43571139,21,Grad Zagreb,Donji Grad,Donji grad,1,64.19,64.19,3.0,,1.0,5.,,1937.0,,,,175000.0,2024-06-20
101,43584900,https://www.njuskalo.hr/nekretnine/projekt-klara-novogradnja-trosoban-g1-oglas-43584900,21,Grad Zagreb,Novi Zagreb - Zapad,Sveta Klara,1,63.82,63.82,3.0,,1.0,4.,4,2023.0,,,,172314.0,2024-06-20
102,43593389,https://www.njuskalo.hr/nekretnine/velika-gorica-novogradnja-dvosoban-stan-odlicna-lokacija-oglas-43593389,1,Zagrebačka,Velika Gorica,Kurilovec,1,78.25,78.25,2.0,,1.0,1.,,2024.0,,,,234750.0,2024-06-20
103,43593394,https://www.njuskalo.hr/nekretnine/velika-gorica-novogradnja-trosoban-stan-odlicna-lokacija-oglas-43593394,1,Zagrebačka,Velika Gorica,Kurilovec,1,78.25,78.25,3.0,,1.0,2.,,2024.0,,,,250400.0,2024-06-20
104,43742648,https://www.njuskalo.hr/nekretnine/trnava-novogradnja-cetverosoban-stan-odlicnoj-lokaciji-s13-oglas-43742648,21,Grad Zagreb,Donja Dubrava,Donja Dubrava,1,96.39,96.39,4.0,,1.0,3.,,,,,,289170.0,2024-06-20
105,43593390,https://www.njuskalo.hr/nekretnine/velika-gorica-novogradnja-penthouse-odlicna-lokacija-oglas-43593390,1,Zagrebačka,Velika Gorica,Kurilovec,1,157.61,157.61,4.0,,1.0,3.,,2024.0,,,,630440.0,2024-06-20
106,43684087,https://www.njuskalo.hr/nekretnine/maksimir-maksimirska-cesta-cetverosoban-stan-oglas-43684087,21,Grad Zagreb,Maksimir,Maksimir,1,78.9,78.9,4.0,,1.0,Visoko prizemlje,3,1940.0,2024.0,,,295000.0,2024-06-20
107,43742647,https://www.njuskalo.hr/nekretnine/trnava-novogradnja-trosoban-stan-odlicnoj-lokaciji-s12-oglas-43742647,21,Grad Zagreb,Donja Dubrava,Donja Dubrava,1,55.44,55.44,3.0,,1.0,3.,,,,,,177408.0,2024-06-20
108,43742649,https://www.njuskalo.hr/nekretnine/trnava-novogradnja-cetverosoban-stan-odlicnoj-lokaciji-s5-oglas-43742649,21,Grad Zagreb,Donja Dubrava,Donja Dubrava,1,71.45,71.45,4.0,,1.0,1.,,,,,,214350.0,2024-06-20
109,43742650,https://www.njuskalo.hr/nekretnine/trnava-novogradnja-dvosoban-stan-odlicnoj-lokaciji-s6-oglas-43742650,21,Grad Zagreb,Donja Dubrava,Donja Dubrava,1,50.07,50.07,2.0,,1.0,2.,,,,,,160224.0,2024-06-20
110,43742651,https://www.njuskalo.hr/nekretnine/trnava-novogradnja-cetverosoban-stan-odlicnoj-lokaciji-s11-oglas-43742651,21,Grad Zagreb,Donja Dubrava,Donja Dubrava,1,89.39,89.39,4.0,,1.0,3.,,,,,,268170.0,2024-06-20
111,39237276,https://www.njuskalo.hr/nekretnine/stan-pogledom-more-tisnom-20m-mora-oglas-39237276,15,Šibensko-kninska,Tisno,Tisno,1,135.0,,5.0,Terasa,3.0,2.,2,,2021.0,,,472500.0,2024-06-20
112,40739156,https://www.njuskalo.hr/nekretnine/prekrasan-stan-panoramskim-pogledom-more-oglas-40739156,15,Šibensko-kninska,Vodice,Vodice,0,72.32,,3.0,"Balkon, Terasa",3.0,Visoko potkrovlje,3,1970.0,2005.0,,,168000.0,2024-06-20
113,40889250,https://www.njuskalo.hr/nekretnine/luksuzan-stan-vodicama-oglas-40889250,15,Šibensko-kninska,Vodice,Vodice,1,129.0,,5.0,"Balkon, Terasa",3.0,2.,3,,,2,A+,414000.0,2024-06-20
114,40990496,https://www.njuskalo.hr/nekretnine/luksuzan-stan-s7-top-lokaciji-vodice-oglas-40990496,15,Šibensko-kninska,Vodice,Vodice,1,88.67,,3.0,"Balkon, Terasa",3.0,1.,3,2024.0,2024.0,1,A,439515.0,2024-06-20
115,40990498,https://www.njuskalo.hr/nekretnine/luksuzan-stan-s5-top-lokaciji-vodice-oglas-40990498,15,Šibensko-kninska,Vodice,Vodice,1,96.53,,3.0,"Balkon, Terasa",3.0,1.,3,2024.0,2024.0,1,A,472635.0,2024-06-20
116,40996595,https://www.njuskalo.hr/nekretnine/luksuzan-stan-krovnom-terasom-s10-vodice-oglas-40996595,15,Šibensko-kninska,Vodice,Vodice,1,84.47,,3.0,Terasa,3.0,2.,3,2024.0,2024.0,1,A,472000.0,2024-06-20
117,40996596,https://www.njuskalo.hr/nekretnine/luksuzan-stan-krovnom-terasom-s8-vodice-oglas-40996596,15,Šibensko-kninska,Vodice,Vodice,1,83.01,,4.0,"Balkon, Terasa",3.0,2.,3,2024.0,2024.0,1,A,510000.0,2024-06-20
118,41395589,https://www.njuskalo.hr/nekretnine/luksuzan-stan-novogradnji-liftom-vodice-oglas-41395589,15,Šibensko-kninska,Vodice,Vodice,1,114.2,,4.0,Terasa,1.0,1.,2,2024.0,,1,,497000.0,2024-06-20
119,41423681,https://www.njuskalo.hr/nekretnine/ekskluzivan-stan-prekrasnim-pogledom-more-prvic-oglas-41423681,15,Šibensko-kninska,Vodice,Prvić Luka,1,44.0,,2.0,"Balkon, Terasa",1.0,2.,2,2004.0,,,,125000.0,2024-06-20
120,41423680,https://www.njuskalo.hr/nekretnine/namjesten-stan-prekrasnim-pogledom-more-prvic-oglas-41423680,15,Šibensko-kninska,Vodice,Prvić Luka,1,44.0,,2.0,"Balkon, Terasa",1.0,2.,2,2004.0,,,,120000.0,2024-06-20
121,41431447,https://www.njuskalo.hr/nekretnine/moderan-stan-samo-600m-mora-vodice-oglas-41431447,15,Šibensko-kninska,Vodice,Vodice,0,148.05,,4.0,"Balkon, Terasa",3.0,1.,1,2023.0,,2,A,380000.0,2024-06-20
122,42217069,https://www.njuskalo.hr/nekretnine/vodice-novogradnja-stan-prizemlju-s3-dvoristem-oglas-42217069,15,Šibensko-kninska,Vodice,Vodice,1,92.81,,4.0,,2.0,Prizemlje,2,2024.0,,1,A+,288000.0,2024-06-20
123,42229699,https://www.njuskalo.hr/nekretnine/vodice-novogradnja-trosoban-stan-s8-oglas-42229699,15,Šibensko-kninska,Vodice,Vodice,1,96.12,,4.0,"Lođa (Loggia), Terasa",1.0,2.,2,2024.0,,1,A+,294000.0,2024-06-20
124,42259069,https://www.njuskalo.hr/nekretnine/stan-novogradnji-izmedu-tribunja-vodica-oglas-42259069,15,Šibensko-kninska,Vodice,Vodice,0,193.81,,5.0,"Balkon, Terasa",2.0,1.,1,2023.0,,3,A+,550000.0,2024-06-20
